mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
21580747.852275785,8326605.940563127,8852309.773587788,8990519.975566575,6023751.5,6530226.055273335,9391664.3675,7548034.440776262,3818063.8044326445,0
22618579.979653653,5233158.6934557045,5103939.89242696,5876188.601569714,7066594.408402776,3279248.3415851314,4521124.503055556,5323292.255654991,3107965.951593258,1
32033007.362395477,3631732.931885141,2654909.613371595,6953089.0715461,3079077.828125,4751226.924945413,6003649.730625001,3719833.687390025,5862019.731641108,2
37965502.29328145,4637580.717958154,3799536.235364401,7622743.028617201,1672965.5206250008,3469252.9234027765,5376682.195625,5337653.214447158,2012354.9205653612,3
40247553.83109504,4919095.384642887,5047228.112624586,8776033.102347165,5829479.874852156,5589962.802777778,14797019.320160206,7715395.475167481,7174963.714893497,4
14927982.435485845,2351022.582597678,2318305.1924722623,2521301.674350262,4243435.47585423,6992327.09736111,11058311.704861112,2281696.6882962678,1998092.511856576,5
84597630.13649201,22588084.89527775,23352876.711053174,24318454.648041192,20435834.201479517,11973885.967500001,54007916.92515626,16921116.38200398,11052880.107826281,6
40672919.55015527,15137346.532947749,6632303.846105533,21589567.236446813,6946311.68341023,6002095.776705731,29289019.564294726,5329468.1739590075,1730930.2774676923,7
25299267.959860504,3119253.7690663626,3219363.003019862,8718091.780066583,1693911.7328124999,2300311.5960100302,11032776.976563197,3814295.9076620755,3570831.473880453,8
27972347.011159334,1217366.8978197766,1315942.2064086564,4876333.066376776,4305665.602559555,3678022.5022085193,4319422.495999998,1475356.845178186,5178921.917077079,9
