mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
23337686.000516534,2346498.94376325,1706940.1966865133,3277634.909540999,2205243.41,1939024.955625,7360768.525119318,4214759.5911795525,2733599.1914312355,0
29233362.50826446,1815044.0372991795,3617944.675080513,11436214.065385543,2737922.1124999984,3118282.1818742263,6455569.285737847,3224054.569529455,4211963.904319672,1
41679575.049669296,5966681.074895117,4305282.290428642,7959969.219173317,4782118.208080461,12590369.924652778,11347024.349444512,3539511.0128134633,1683396.2703997064,2
32534367.24069942,4444044.307064895,2991890.7837943383,3860145.2985101594,2120538.2232812503,4829687.154056249,3652683.3854359756,3634473.7179340273,3094772.0663187867,3
10713528.96834503,2289437.4295259016,2738249.915734832,1343681.4209284792,3372952.0075000003,5510336.345,15497862.113125,2525295.3633016413,3032869.1099129766,4
15705870.64309074,1481039.4741807133,2749098.2947448795,3401438.382922708,2760157.6272786334,2436951.4346961877,2753594.9069145713,2319134.4834806165,2565698.8464327543,5
72051572.60625519,6874803.320811502,2672321.299517922,25145642.654608116,13359375.772110922,12539293.260468751,21254072.986874998,5339067.525799235,4370067.236820794,6
27366145.736050658,4875184.157049799,4436526.6047253935,6177643.590652351,2691464.9324999996,6117431.108706319,4922114.49986111,3979228.1732397825,2591233.1134356237,7
72477750.0440914,22121517.58711633,23176246.85198981,24364350.903938774,7372508.534027778,23248183.196736112,25817295.910860483,12663884.172930226,3800672.553959565,8
25877825.88260031,9963716.256292012,9379051.239465078,21941097.02209996,7730068.517078693,3259551.373333333,20602139.390982058,9199246.056510119,5214808.184325266,9
