mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,mft,fold
6856.880595651265,4667.05877515667,4094.988454408452,5493.0726743694995,3865.5124856096513,4827.499290269414,3768.143235205932,4330.7724212495905,4137.516268649174,0
5318.830079923524,4104.311928539021,3579.535744782285,4571.922261407304,3860.446462832417,3657.710182935782,3435.7412124653424,3811.900682874586,3222.258134287367,1
5705.121602186354,4279.780767854942,3215.4932623195605,4708.169544812953,3401.1310045004707,3113.789067907946,3042.176203122597,3552.631465082684,3107.392167205542,2
5965.912458018737,5714.271896190127,3746.9727827925235,4929.123241989974,4072.708762178798,3481.961818181818,4486.473923285382,4500.048393607504,3977.4638739734164,3
6059.0263658401645,3103.7766972952945,2300.4987002944977,4730.481721605444,2186.241534480205,2390.402330493624,2771.8672240605624,2369.9746275159937,1856.0905254267816,4
5943.657702055274,2376.025851067954,2317.7601398595066,4151.0351741013965,3055.101553154934,2623.074023855302,2185.5432757099557,2861.629638012893,2427.72541837384,5
5252.099352977772,4486.955580843311,2569.355954701056,3516.2779787083605,2891.224600821854,3328.391147147073,3183.094184597809,2402.831342594867,2763.2700650781458,6
5661.7072301893195,2882.8865440683194,2592.52393280391,3496.4725111565085,2424.825857340417,2523.858280778013,3502.4267299324,2985.0021279303724,2810.4904765413335,7
6866.354486571735,3578.215793757964,3009.162072919203,5066.304303490768,3366.3202495320347,2884.640198484537,3383.9526961721785,3641.2786573828603,3090.7751351935726,8
5893.9406724118535,5682.933800621767,3786.148568523145,4792.381526943772,4481.5946456498705,4292.320651490541,3955.848357740702,3656.347123342786,4018.7301095774314,9
