mean,kernel_reg_raw,kernel_reg_sir,kernel_reg_save,rf,sir_rf,save_rf,mf,trim,fold
7564.555555555556,3401.646125040948,3909.612717323878,5424.051193240763,3929.266387778627,4242.015111111111,4700.0679951120455,4393.822846053115,3884.974163350511,0
7341.225478945435,3208.8122125283244,2649.7836172364578,4991.01560488905,2656.3163265473354,2176.0960454768015,2883.85431422729,2822.8842614342266,1862.6825837929234,1
4531.535538014421,3623.7598166085054,2775.707023689142,3530.2319727809663,2749.923366651653,3435.259662291339,3359.5565042089365,2718.4945460038507,2619.4077934259176,2
6088.470749705587,2599.944767914365,2594.077899720065,4259.703000719513,3028.7676151564533,2629.044297309792,2788.6543437158007,2696.683352844908,2754.5288138945234,3
5750.542773828026,3540.497629411754,2412.4253680348493,3973.313660192623,3237.117761893811,2608.6854986010762,2540.9680682294547,2606.140934491568,2458.7301060475547,4
5682.134808923558,4454.664264627617,3078.264120862535,4337.044436040502,3867.061851526002,3695.3437757482197,3661.577045454546,3382.510228065416,2867.45890726811,5
4085.198553870311,3414.7360461079315,2571.9879830681784,2646.63892566643,2499.520717521052,2987.8728601998328,3141.6552678591465,2724.5978133542953,2698.529342851016,6
6727.616587391044,5306.684678564506,3911.1827433090325,5152.583726680172,4682.4601577935955,4037.5396495845957,4649.767272727274,4400.758139194347,3815.838082286069,7
6763.865746617968,3447.9633571159025,3477.5297627162204,5869.2687862761195,3095.549749873426,3241.000095775268,4033.6703504581383,3405.159844764082,2899.2442408726547,8
4937.861429693006,5202.812509357486,3412.426686371944,4409.289911657418,4297.1982161540545,4367.141310251744,3824.0703044016595,3977.736366604826,3683.8937126546734,9
